Dialect,Domanda,Risposta
full,x,"'Na vota s'arricunta ca cc'era un patri, e avίa 'na figghia chi si chiamava Rusidda, e la mannava a la scola nni 'na maistra; pirchì a la casa nun avίa a nuddu
Sta maistra avίa un àstracu, chi vinia a facciu di lu Re
Stu Re avίa un figghiu, ch'affacciava spissu spissu 'nta stu pitterra
'Na jurnata s'attruvò a 'ffacciri Rusidda e cantava nto nto ron tò! nto nto ron tò! e lu Riuzzu cci spijau:
Rusidda ntontorontò, Quantu pampini cc'è 'nta lu basilicò? Rusidda 'un cci sappi arrispunniri: e si nni iju nni la maistra, confusa
La maistra cci dissi:
Chi hai?"
full,x,"Assira mi curcavi nni la maistra , e fici 'na nuttata di vutàrimi e svutàrimi, chi cridia ch'eranu purci e cimici; ma la cosa 'un era chista: ch'era lu Riuzzu chi mi 'ncuitava
Zittu, figghia mia
cci dici lu patri
ca ora pensu io, chiddu ch'hê fari
Accatta lu megghiu cavallu chi cci puteva essiri , e poi fici fari 'na cintura tutta un pezzu d' oru
Pigghiati sta cintura, mèttiti a cavallu, e avi' a jiri a passiari sutta lu palazzu di lu Re
Accussì fici Rusidda: si misi a cavaddu, e dda cintura 'mmanu, e a gridari:
A cu' vasa lu culu a la mè mula, Io ci dugnu sta bella cintura!"
full,x,"Dicidi ncapu a zoccu s'àvi a parrari
Scarta na cosa di discurriri 'n antìcipu. Capaci ca a guerra palistinisi/isdrailiana è n'anticchia pisanti, ma putiti scartari na cosa comu “unni ti piacissi viaggiari”, “lu furmaggiu va câ pasta cû pisci?”, “lu sicilianu avissi a èssiri lingua cu-ufficiali 'n Sicilia?” Nun avissi a èssiri na cosa troppu ntilligenti, ma armenu na cosa pi stimulari i cristiani scanusciuti a parrari. Grapi e chiudi
Quannu i cristiani vennu â tàvula, salùtali 'n sicilianu. Quanni siti nzèmmula, puru ca siti sulu 'n dui, putiti “rapiri” lu macadaru, e ntrudùrivi e diri picchì vinìstivu. Appoi, putiti attaccari a chiacchiarijari siddhu vi veni fàcili. Si nun veni fàcili, poi accuminciari chî palori novi, appoi lu testu, appoi l'argumenti ca scartasti. L'òrdini nun è mpurtanti - a cosa mpurtanti è ca vi sintiti còmudi, manzi, e ca parrati a lingua siciliana senza giudicari."
full,x,"Gli arrè gli chiamavu, ilu cosu furunu fattu accummu l'atra vôta
Chistu ivu dagli cumpagnu, i ci dicivu:
«N' ave' paura, fattu dà' gli barilu du vinu accummu l'atra vôta, i eccutu lu funu pu lucar- m'hai arruvinatu, mò iè stivu allu megli du la pesca i m'avi' munutu a tollà'!» S'arrabbiarunu tutti duia, i duvevanu passà' 'un fossu
Gli lionu zummavu cu' 'un mumentu, ma gli asunu cadivu a terra a la fanga, i nun putivu mancu arruscì'
Gli lionu gli rucacciavu
Annanna gli asunu ci dicivu:
«Cummà', mo cu steva pu scavà' 'un fiumu, mu si' munutu a tollà'!» Su rumuttirunu a rucamminà', i arrivarunu a 'un giardinu 'n dò ci steva 'un muru jàvutu jàvutu
Gli lionu, cummu 'un lepru, zumpavu, ma gli asunu rustavu cullu ciancu pu' l' aria
Gli cummà' gli azzicavu, i annanna gli asunu su lagnavu dicennuci:
«Eh cummà' cu m' hai fattu nun su sa, iè steva a fa' prova a vudè' si pusevunu du più gli quarti du dretu o chigli duvantu!»
«Oh sì' prôpriu
ci dicivu gli camparu sê
'un sbrancalionu!» S'arrabbiarunu, i pu 'un fattu s'abbattirunu cu 'na volupa
Gli lionu ci addummannavu:
«Dimmu mo tu, cummà', ch' allimalu è chistu?» La volupa, birba, ruspunnivu:
«E 'n asunu, nun lu vidi lu 'recchiu cu tê'?» Annanna gli lionu dicivu:
« Volupa, ci gli vulemu magnà', fagli tu!»
«Ah!"
full,x,"ca chella s'avivu lacota i avivu riuta cu gli maritu
Gli arrè, cummu la vudivu, la baciavu, l'a lu- civu:
«Statt' attentu, purché gli fratu te c'è capitatu, i ci duvissu capità' pura tu; basta fa' la paci te'.» Annannu su muttivu a rucercà' pu' la casa, i passarunu lu tre dì dustinatu, i accusì fu accisa pur' issa
Gli fratu più zicu apprima da i' dagli arre, più birbu, la nottu nun faciva atru cu a punzà' accommu putivu fa'
All' ultimu punzavu da i' a chistu paisu
Accummu arrivavu, ivu a dumannà', all' scarpari i a la pastoru, accummu facivunu quannu duvevunu fa gli scarpu i lu vestì a la figghia dugli arrè
Chisti ci ruspunnirunu:
«Siccommu gli arrè te' 'na bella statua dulia figghia, nuia tullamu la musura scmbru a chista statua.» Annannu punsavu da i' all' 'refici, i facíu fa' 'un cavagli tuttu d'oru, i ci su ficcavu issu drentu
Tuttu gli paisu ieva a vudè' 'stu begli cavagli, i accummu lu sapiu gli arrè subbitu gli manna vu a tollu pu fagli vudè' a la figghia
La nottu 'st' arrè tullivu 'stu cavagli i gli munavu a la figghia
Annannu chistu cu stivu allocu drentu vudivu tuttu chellu cu facivu gli arrè
Accummu arrivavu annò' stivu la figghia, gli passavu, i ci gli feci tunè' tutta la nottu pu' farcigli benu vudè'
La nottu chistu 'raprivu 'stu cavagli i 'scivu, i ievu all' lettu dulia figghia dugli arre
Accummu chesta gli vudivu avivu paura, ma c'oppu chistu raccuntatuci tuttu, la figghia dugli arre ci avivu tantu piaceru, purchè sa luveva allocu drentu, i putivu fa chellu cu ci parivu
'Sta figghia dugli arrè avvisavu chistu benu benu, accummu tunivu da fa', i ci dicivu:
«Attenti mo' tu quannu se' aieccu a rutruvarmu!"
full,x,"S' 'lu vôi sapiri, ti cusiemu 'nta 'na peddi di crastu, ti damu 'n cutieddu e ti minti 'nt' ô vignanu ; veni 'n auciddazzu e ti càrrica e ti porta 'nta 'na muntagna; arrivannu ddà, scusi la peddi; lu riestu puoi lu vidi ddà, ma però ccà nun ti cci vuliemu, pirchì cciui di deci nun putiemu essiri ”
Lu Riuzzu si fici cùsiri 'nta la peddi, e si misi 'nt' ô vignanu
Dduoppu 'n momentu vinni 'n auciddazzu, s' 'lu carricau e s' 'lu purtau
Arrivannu 'nta 'na muntagna lu pusau
Comu lu pusau, lu Riuzzu 'sciu lu cutieddu, scusíu la peddi, e l' auceddi si nn' iju
Lu Riuzzu si misi a caminari e arrivau 'nta 'un ngran palazzu, ca cc' era 'un 'ngran purticatu; trasìu e vitti centu porti
Si cci prisintarru cinquanta signurini, na cciù bedda di 'n' àutra ; cci ficinu tanta festa, cci dèsinu manciari tuttu chiddu ca vulía; e si mìsiru a ballari, a cantari, e tutti sti cosi
Dduoppu ca passaru cinquanta juorna ca era ddà, chiddi cci dissinu:
“ Vi damu sti centu ciavi, ca sunu li ciavi d' 'e centu porti; niàutri ni nni iemu pi cientu juorna, ogni juornu 'rapiti 'na porta, però l'urtima non l'âti a 'rapiri ”
Avanti ca si nni jerru, cci lu accumannarru di nun la 'rapiri e poi si nni jerru
Lu Riuzzu ô primu juornu 'rapíu la prima porta e truvau 'un bellu jardinu cu tutti li fiuri; ô secunnu juornu vitti 'na vasca cu tutti li pisci; ô terzu, tutti aucedda; ô quartu, 'na picca di muniti d'oru; ô chintu, 'na picca di diamanti e 'nta l'àutri tanti cosi magnifica mirè
Arrivannu ch'avièunu passatu novantanovi juorna, arristava l'urtima porta
Siccomu cc' era 'na porta tutta foderata d'oru e diamanti, la vulía 'rapiri pi vìrriri chi cc' era
Arrivannu all'urtimu juornu nun la potti tèniri, e pi 'siri curiusu 'rapiu la porta e vitti 'n cavaddu magnificu
Cci aggravaccau e lu purtau 'n cianu
Lu cavaddu nun vulía caminari e iddu si misi a dàricci corpi ; lu cavaddu si misi a furriari tunnu tunnu e lu jittau 'n terra ; puoi cci dèsi 'n corpu cu la cuda e lu 'nnurvau di l'òcciu drittu
Tutt' a 'na vota si truvau davanti lu palazzu unn' erinu chiddi deci uorvi di l' òcciu drittu
Chiddi nun cci lu vòsinu, e cuomu vinni 'un bastimentu ca jia 'nt' ô regnu di sò patri, si nni iju."
full,x,"Accussì, parrannu parrannu, si mìsaru ncaminu e tantu caminaru, chi arrivaru finarmenti davanti a un palazzu
Dissi la lepri: - Ora traji ccà intra, e vidi ca nci su' tanti cavalli: ntlu menzu, trovarai lu cavaddu chi parra
Ti nn'accorgiarai subitu, ca iddu appena ti vidi, ti domanna: «Patruni, venisti ccà, mi mi pigghi?»
Tu nci arrispunni: «Sì», e vidi ca iddu avi na brìgghia vecchia e brutta
Supra lu muru nci nn'è, però, na nova, tutta adornata di ciancianeddi d'orù, e lu cavaddu ti dici: «Patruni, e cu stu brigghia mi nesci? Hai un bellu cavaddu chi parra, e tu lu vói levari accussì a la città?"
full,x,"- arrispunnìu lu granni
- Quannu mi partìa di casa, mi vegnu ccàni, pe la strata vitti un puzzu
Subitu chi arrivamu ddà, dicimunci ca non nni fidamu chiù mi caminamu a pedi, doppu un viaggiu tantu longu; accussì nni fermamu a lu puzzu, e facimu mi s'arriposa puru iddu, e mi dormi
Quannu poi nni pari a nui, ch'è nt' o mègghiu du sonnu, l'arriscigghiamu cu na scusa qualunchi e, appena iddu si leva, nui lu pigghiamu e lu jettamu nta lu puzzu
Doppu, jeu chi su' lu granni, mi pigghiu la Bella e l'aceddu, e tu chi si' lu menzanu, ti pigghi l'acqua e lu cavallu
Poi nni prisentamu a lu papà, e nci dicimu ca sti cosi li guadagnamu un' dui, cu li nostri fatichi
Caminaru caminaru e, arrivati a lu puzzu, ficiaru comu avianu cuncertatu
- Frati, nui a pedi non potimu chiù caminari, e simu propiu stanchi!"
full,x,"nc'issi lu re ;
sentimu chi vòi diri
E l'autru accumenzau :
Quannu iva cercannu a to mugghieri, ieu la trovai chi la draga la tenìa ncatinata, e fici in modu chi nci la pigghiai :
e cussì, di cosa a cosa, nci cuntau tuttu lu fattu, senza dimenticari li jestimi di la draga
Però, mentri iddu parrava, li so carni a pezzu a pezzu si facìanu di màrmuru
Arrivatu a un certu puntu, non potti chiù cuntinuari e, quannu oramai era addiventatu tuttu di màrmuru, so frati lu fici scìnnari di la cullettìna e portari a casa
Ciangennu e pentutu, lu misi dintra a un stipu e, ogni jornu, nci addumava li cannili e l'adurava, comu un santu
Accussì passau n'annu : la rigina niscìu gràvita e fici a un partu du' figghioleddi màsculi
Doppu na para di jorna, lu re si nni vozi iri a cavallu, pe na campagna
Sbagghiau la strata e finìu nta un voscu
Nci stavìa scurannu, quannu senti fari supr'a l'arburi :
Currucutucù, currucutucù, currucutucù!"
full,x,"- dissi la draga, - ca aiu fami
- Lu dragu e la draga mangiaru ; erano stanchi e, senza domannari autru, si curcaru
Intantu la vecchia, approfittannu di lu scuru, si la svignau, e appressu jornu, all'ura stabilita, si fici a vidiri di lu figghiu du re, a lu sòlitu postu
Nci dissi: - L'avìa trovatu sula ; ma era l'ura chi venìa so mamma e so patri, e mi dissi ca nci spia, quannu si nni vannu, e quantu tempu stannu luntani
Quannu tornu, mi sapi dari notizii chiù precisi
- Ma è bella? - domannau lu principi
- Sì, è propiu bella, comu lu suli; è comu la voliti vui! - E quannu m'assicuri ch'è bella - nci dissi, - ieu mi partu e vògghiu veniri cu tia!"
