Dialect,Domanda,Risposta
full,x,"E quannu ni ncuntramu di pirsuna, putemu fari lijami, e accussì custrujemu i nostri riti di pirsuna, e riti sunnu na forza. Cu sta forza, lu sicilianu addiventa forti. Na lingua forti po pigghiari lu so postu â tàvula. Lu nostru ubbittivu è di criari un locu unni si parra sicilianu. Si a chiamu na “tàvula siciliana” è picchì si ncuntra, a tàvula o no, câ scaciuni pricisa di parrari ed esircitari lu sicilianu. Cu l'amici, certu, ma puru cu cristiani fora dî nostri riti pirsunali. Allura âm'a cògghiri cchiù cristiani pi fari un ncontru. E comu si fa? Comu mmitari i cristiani
Quannu fai na tàvula siciliana, voi aviri na beddha mista di cristiani - diversi età, gènniri, travagghi, ecc. Cchiù assai di venti cristiani po èssiri troppu, siddhu si accussì furtunatu, capaci ca avissi a spàrtiri i gruppi 'n dui. Online."
full,x,"Stu mudellu pigghia pi bonu ca c'eni na pirsuna ca spirisci difinuta e armenu na pirsuna c'arricivi. Na variazzioni mpurtanti vidi la nfurmazzioni comu chiddu ca fussi cumunicatu cû missaggiu si fussi spiruta di na pirsuna ca spirisci a na pirsuna c'arricivi ca s'a fida di capiri lu missaggiu. Nta ogni casu, macari si unu ci avi abbisognu di difiniri na pirsuna ca spirisci, lu mudellu di ""nfurmazzioni comu missaggiu"" nun dici ca sta nfurmazzioni avissi a èssiri pigghiata di l'ammienti, p'asempiu cu l'assirvazzioni, la littura o la misurazzioni. La Nfurmazzioni eni un tèrmini ca ci avi un saccu di significati c'addipènninu dû cuntestu, ma comu règula eni liata a cuncetta comu lu significatu, l'istruzzioni, la cumunicazzioni, la rapprisintazzioni e ô stìmulu mintali. Rittu n paroli pòviri la nfurmazzioni eni un missaggiu arricivutu e caputu."
full,x,"Doppu ca forru valutati, na vota ca si vidi ca ci sù rilazzioni tra li dati, e ca sti rilazzioni sù mpurtanti, allura sù cummirtuti nta nfurmazzioni. Ora sti stissi dati putìssiru èssiri utilizzati pi scopa diffirinti. Pirciò, nzinu a quannu li dati pòrtanu nfurmazzioni, chissi nun sù utilizzàbbili. L'idea dâ nfurmazzioni comu missaggiu accuminzari ca la pubbricazzioni ntô 1948 di un testu di Claude Shannon ca nfruinzau assai la cumunità dî scinziati , ""Na tiurìa matimàtica dâ nfurmazzioni."" Stu testu duna li funnamenta dâ tiurìa dâ nfurmazzioni e accumenza a utilizzari la parola nfurmazzioni nun sulu cu un significatu tècnicu ma macari comu a na misura."
full,x,"Nta stu cuntestu nascìu lu bannitu Sarvaturi Giulianu, comu tanti autri criminali siciliani (si va a nutari ca certi mafiusi cummattìru puru dintra li ranghi dû MIS), abbrazzò di tuttu lu cori la causa di na Sicilia siparata di l'Italia; vista comu na nazzioni ca pi cchiù di menzu sèculu non avìa pututu dari nenti a l'isula, ma sulu pigghiàrila. A criazzioni ri EVIS nun fu pubbricamenti sustinùta dô MIS, infatti fu cuntrariata di certuni dî sò capi, comu Antuninu Varvaru, puru iddu di sinistra. L'esistenza di l'EVIS fu spiegata comu na risposta â criscenti ""riprissioni culuniali taliana"". Lu stissu Canepa, nzèmmula a dui giùvini militanti, Rusanu e Lu Giudice, fu ammazzatu vicinu Rannazzu nti un scontru chî Carabbineri la matina dû 17 di giugnu 1945, n circustanzi ca ancora nun sunnu chiari."
full,x,"Pî nazziunalisti siciliani l'autucuvernu è na vucazzioni naturali dû pòpulu sicilianu, comu tistimonia l'estensiva autunumìa cunciduta â Sicilia pi tutta la sò storia e pirìudi di nnipinnenza tutali. La pruspittiva dî nazziunalisti siciliani pi l'Italia è chidda di n'unioni di nazzioni lìbbiri, na visioni ripigghiata tra l'àutri di Micheli Amari chi, pû sò currettu funziunamentu, avi a assicurari cumpreta autunumìa ê sò pòpuli. Chistu, chinni, porta a na dura crìtica di l'epilugu dû Risurgimentu talianu, vistu comu un tradimentu di l'idiali urigginali spustati duranti la Rivuluzzioni nnipinnintista siciliana dû 1848. Frammenti di nazziunalismu sicilianu, di natura cchiù sucialista, ripigghianu la tradizzioni dî Fasci Siciliani di travagghiaturi comu strumentu pi l'emancipazzioni. N'àutra petra miliari di sta currenti pulìtica è l'avversioni totali versu l'associazzioni criminali Cosa Nostra e versu qualegghiè urganizzazzioni 'n stili mafiusu."
full,x,"L'album fu pubbricatu prima ntô 1991 nnî Stati Uniti dâ Hollywood Records cu l'aggianta di dui bonus track, nzècutu ntô 1994 dâ Parlophone (senza arcuni traccia bonus) e nfini ntô 2011 rimastirizzatu 'n furmatu diggitali dâIslann Records / Universal Records e distribuitu 'n dui edizzioni:
Durata tutali: 44:14
Bonus tracks (riedizioni CD du 1991 da Hollywood Records)
Bonus EP (riedizioni CD du 2011 ri Islann Records / Universal Records)
Durata tutali: 22:27
Tie Your Mother Down fu scritta a Tenerife, quannu May stava travagghiannu o so dutturatu di ricerca 'n Astronomia a l'iniziu du 1968. Scrissi a canzuni cu na chitarra spagnùola e pinzò ri canciari lu titulu e lu coru cchiù tardu, ma a Freddie Mercury piaciu e accussì arristò na ddu modu. Lu branu è pricirutu, na prima parti, da na parti ri chitarra ca ricorda a canzuni “White Man”, chinni da un minutu ri intro strumintali."
full,x,"A canzuni nun fa parti ru film Highlanner - L'ultimu immortali, ma fu utilizzatu 'n n'avutru film du 1986 Iron Eagle. A Kinn of Magic fu scrittu ra Roger Taylor, a battuata «a kinn of magic» (na speci ri magia) è usata no film. Sta battuta impressionò assai Roger Taylor ca addicidiu ri usarla comu tema cintrali na nova canzuni. Sunnu prisenti riferimenti a lu film no testu: «one prize, one goal» (un premiu, un unicu ntentu); «no mortal man» (nuddu omu mortali); «there can be only one» (ni po' ristari sulu unu), Taylor scrissi a melodia e l'accordi pi la versione ru film. Freddie Mercury fici na nova parti ri bassu, agghiunciu break strumintali e canciò lu finali ra canzuni. Furunu Mercury e David Richards a prudurri sta nova versioni, poi misa nall'album “A Kinn of Magic”. A traccia originali ri Taylor mmeci fu usata sulu pu film."
full,x,"Lu 14 di giugnettu dû 1551, jornu nta cui l'ammiragghiu ginuvisi Andrìa Doria naufragau câ sò flotta a picca migghia di l'ìsula di Lampidusa. Li pèrditi foru assai: mureru cchiù di milli òmini e quasi tutti li navi affunnaru. La flotta a l'òrdini d'Andrìa Doria si stava diriggennu ntâ zona cumprisa ntra Monastir e Djerba pi scunfìggiri lu pirata Dragut (Draguttu), ca dittava la propia supranìa supra ddu trattu di mari, attaccannu li galioni n trànzutu ntô Miditirràniu cintrali. Ntô 1630 a Giuliu Tomasi di Lampidusa vinni cuncidutu di Carlu II di Spagna d'assùmiri lu tìtulu di “Prìncipi di Lampidusa”. Ntô 1783 n'epidimìa di pesti, arrivata cu quarchi navi, fà vìttimi ntra la pupulazzioni. Un mèdicu famusu, Antoniu Corsi, veni mannatu dâ Sicilia pi dibbillari la malatìa. Ntô giru d'un annu l'òpira dû Corsi s'accabba."
full,x,"Licata è dividuta a est dû cumuni di Vutera dû turrenti Cantigagghiuni, ca sfocia ntê lucalitati Punta Dui Rocchi. Lu centru abbitatu è pusizziunatu ô lìmmiti uccidintali dû Golfu di Gela, e è dispostu a contra na cullina ditta 'A Muntagna. Lu liturali, sibbeni signatu nta vari parti di l'edificazzioni sarvaggia di l'anni '70 e '80, sarva li sò caràttari di naturalitati ca nni fannu unu dî cchiù beddi di tutta la costa miridiunali dâ Sicilia, supratuttu pi lu canciàrisi d'ammienti rinusi e rucciusi carattarizzati dâ prisenza di pratarìi granni di Posidonia Oceanica. Lu nomu Licata ntê vari sèculi appi n'evuluzzioni particulari. Lu ducumentu cchiù anticu ca ammìntuva lu nomu di Licata è l'attu di dunazzioni di parti di Ruggeru d'Altavilla a Girlannu, vìscuvu di Girgenti, unni la citati veni nnicata cu l'appillativu di Limpiadum."
full,x,"Prima la guerra e doppu la crisi dû sùrfiru (di qualitati òttima, ma ca li carattirìstichi mpunìanu lu mpiegu di tècchinichi d'estrazzioni divinuti picca cumpititivi), purtaru a un mpuvirimentu prugrissivu dû tirritoriu, signannu na svolta n senzu nigativu pî cunnizzioni ecunòmichi ginirali, ca ammuttau tanti licatisi a emigrari versu lu nord di l'Italia e versu àutri Paisi, suprattuttu n Girmania, Bergiu e Francia e, a dda banna di l'ucèanu, ntê Stati Uniti, ntâ l'Argintina e ntô Vinizzuela. Pi furtuna, macari cu na situazzioni ecunòmica strammata e un sviluppu edilizziu nun rigulatu ntê pirifirìi (suprattuttu tra l'anni '70 e '80), Licata sarvau na granni parti dû sò patrimoniu artìsticu, munumintali e naturali, ca oi custituisci la sò ricchizza cchiù granni."
