Dialect,Domanda,Risposta
italian,"Oltre ai coltelli, che tipo di lame l'arrotino poteva rimettere a nuovo?",Ogni tipo di lama come forbici grandi o piccole o oggetti d'acciaio come le forbici da seta (molto più difficili da affilare perché serve una mola molto veloce e una smerigliatrice) o con filo molto sottile come i coltelli da prosciutto.
italian,"Dopo che si aprì una bottega, come cambiò la vita dell'arrotino e cosa divenne?","Finendo di fare l'arrotino e riunendo la famiglia stabilendosi sul posto di lavoro, diventando un vero commerciante con un posto fisso di lavoro."
italian,Che cos'è la cosmologia e da dove viene?,"La scienza che cerca di comprendere l'Universo con tutto il suo insieme, alla scala più grande possibile, è la cosmologia, che si è sviluppata dalla fisica e dall'astronomia."
italian,Cosa ha provocato la separazione del significato del termine Universo tra i cosmologi?,"Lo sviluppo della cosmologia osservativa, chiamata anche cosmologia fisica, ha portato a una separazione del significato del termine Universo tra i cosmologi osservativi e i cosmologi teorici."
italian,Che cosa rappresentò Cheope per l'Egitto?,fu il secondo faraone della IV dinastia e il grande artefice dell'unificazione territoriale e di un periodo di notevole prosperità per l'Egitto.
italian,Come lo descriveva la tradizione greca antica?,Cheope fu un faraone crudele e spietato.
italian,Da chi era formata principalmente la popolazione nell'Antico Egitto?,"La massa della popolazione era formata principalmente da contadini che lavoravano per i privati, o per i domini regi o i templi."
italian,Che ruolo ha rivestito l'astronomia nell'Antico Egitto?,L'astronomia nell'Antico Egitto ha rivestito un ruolo importante per fissare le date delle feste religiose e per determinare le ore della notte.
italian,Quando la RAI vuole iniziare a trasmettere le trasmissioni con l'Ultra-definizione e con quale modalità?,Nel 2012 vogliono iniziare a trasmettere (ma solamente a livello sperimentale) le trasmissioni con l'Ultra-definizione.
italian,Che è previsto per il 2015 per l'Ultra-Alta-Definizione?,Nel 2015 dovrà iniziare la produzione abbondante per tutta la popolazione dell'Ultra-Alta-Definizione.
italian,Com'è il frutto di questa pianta?,"Il frutto è una capsula ovata, che si apre longitudinalmente per 5 fessure, e che contiene molti semi, viscidi e con una caruncola oleosa."
italian,Qual è la descrizione della corolla?,"Corolla giallo-pallida, sfumata d'arancio alla fauce, con cinque lobi e tubo di 13-20 mm."
italian,Chi è il superstite ferito alla mano che il soldato Petrenko scopre a Stalingrado?,"Si tratta del sergente Viktor Reznov, che diventa suo mentore, commilitone e amico."
italian,Chi è il bersaglio che Petrenko e Reznov cercano di eliminare con un fucile di precisione?,Il generale Heinrich Amsel (fittizio alto ufficiale tedesco che avrebbe orchestrato l'attacco a Stalingrado)
italian,"Qual è il fiume più lungo d'Italia, secondo il testo?",Il fiume più lungo è il Po
italian,Cosa successe all'Italia con la nascita e l'ascesa al potere di Roma?,L'Italia si trovò per la prima volta unificata e conobbe un periodo di splendore e prosperità
italian,Qual è il capoluogo della Campania?,Il suo capoluogo è Napoli.
italian,"La Campania, la sua densità di popolazione com'è rispetto alle altre regioni italiane?",Ha la densità di popolazione più alta delle regioni italiane.
italian,"Qual è la particolarità dell'origine dell'isola, facendo un confronto con Ischia e Procida?","L'isola è, a differenza delle vicine Ischia e Procida, di origine carsica."
italian,"Come si suddivide Ischia, amministrativamente parlando, e quanti comuni ha?","Dal punto di vista amministrativo si suddivide in sei comuni: Barano d'Ischia, Casamicciola, Forio, Ischia, Lacco Ameno, Serrara Fontana"
italian,"Quando è che la ripresa dell'agricoltura arrivò, e grazie a quale azione?","La ripresa arrivò solo dopo il VI secolo, con l'azione dei monaci Cassinesi, Benedettini."
italian,"Secondo i ritrovamenti archeologici, a partire da quando il territorio era abitato?",Il territorio era abitato già nel III secolo prima di Cristo.
