Dialect,Domanda,Risposta
Italian,"Cosa sono le reti, in sintesi?",Le reti sono una forza
Italian,Qual è lo scopo principale che l'autore vuole raggiungere?,Il nostro obiettivo è di creare un luogo dove si parla siciliano
Italian,"In parole povere, che cos'è l'informazione?",In parole povere l'informazione è un messaggio ricevuto e compreso.
Italian,A quale concetto è legata l'Informazione come regola?,"L'Informazione è un termine che ha molti significati che dipendono dal contesto, ma come regola è legata a concetti come il significato, l'istruzione, la comunicazione, la rappresentazione e allo stimolo mentale."
Italian,"Quando i dati vengono valutati e si trovano relazioni importanti tra di essi, in che cosa vengono convertiti?",sono convertiti in informazioni
Italian,Con cosa cominciò l'idea dell'informazione vista come un messaggio?,la pubblicazione nel 1948 di un testo di Claude Shannon
Italian,Quali idee politiche abbracciò Salvatore Giuliano con tutto il suo cuore?,la causa di una Sicilia separata dall'Italia
Italian,"Cosa successe a Canepa, Rosano e Lu Giudice?","Lo stesso Canepa, insieme a due giovani militanti, Rosano e Lu Giudice, fu ucciso vicino Randazzo in uno scontro con i Carabinieri la mattina del 17 giugno 1945, in circostanze che ancora non sono chiare."
Italian,"Per i nazionalisti siciliani, cosa rappresenta l'autogoverno per il popolo siciliano?",l'autogoverno è una vocazione naturale del popolo siciliano
Italian,Che posizione hanno i nazionalisti siciliani verso le organizzazioni criminali come Cosa Nostra?,l'avversione totale verso l'associazione criminale Cosa Nostra e verso qualunque organizzazione in stile mafioso
Italian,"Quando e da chi fu pubblicato l'album per la prima volta negli Stati Uniti, e con quali particolarità?",Nel 1991 negli Stati Uniti dalla Hollywood Records con l'aggiunta di due bonus track
Italian,"Dove e quando fu composta la canzone ""Tie Your Mother Down"", e qual era l'occupazione di May a quel tempo?","Tie Your Mother Down fu scritta a Tenerife, quando May stava lavorando al suo dottorato di ricerca in Astronomia all'inizio del 1968."
Italian,"Di quale film non fa parte la canzone ""A Kinn of Magic""",La canzone non fa parte del film Highlander - L'ultimo immortale
Italian,Chi furono i produttori della nuova versione della canzone,Furono Mercury e David Richards a produrre questa nuova versione
Italian,Quali furono le perdite subite durante il naufragio dell'ammiraglio Andrea Doria nel 1551?,Le perdite furono molte: morirono più di mille uomini e quasi tutte le navi affondarono.
Italian,"Nel 1630, chi concesse a Giulio Tomasi di Lampedusa di assumere il titolo di ""Principe di Lampedusa""?","Nel 1630 a Giulio Tomasi di Lampedusa venne concesso da Carlo II di Spagna di assumere il titolo di ""Principe di Lampedusa""."
Italian,Qual è il documento storico più antico che menziona il nome di Licata?,"Il documento più antico che menziona il nome di Licata è l'atto di donazione da parte di Ruggero d'Altavilla a Gerlando, vescovo di Girgenti."
Italian,Con quale appellativo veniva indicata la città nel documento di donazione di Ruggero d'Altavilla?,Limpiadum
Italian,Quali avvenimenti portarono a un impoverimento progressivo del territorio di Licata?,Prima la guerra e dopo la crisi dello zolfo.
Italian,Dove spinse ad emigrare molti licatesi la svolta in senso negativo delle condizioni economiche generali?,"Molti licatesi a emigrare verso il nord dell'Italia e verso altri Paesi, soprattutto in Germania, Belgio e Francia e, dall'altra parte dell'oceano, negli Stati Uniti, in Argentina e in Venezuela."
