Dialect,Domanda,Risposta
Sicilian,"Chi sunnu i riti, 'n sintesi?",riti sunnu na forza
Sicilian,Qual è lu scopu principali ca l'auturi voli raggiùnciri?,Lu nostru ubbittivu è di criari un locu unni si parra sicilianu
Sicilian,"Rittu n paroli pòviri, chi cosa eni la nfurmazzioni?",Rittu n paroli pòviri la nfurmazzioni eni un missaggiu arricivutu e caputu.
Sicilian,A chi cuncetta eni liata la Nfurmazzioni comu règula?,"La Nfurmazzioni eni un tèrmini ca ci avi un saccu di significati c'addipènninu dû cuntestu, ma comu règula eni liata a cuncetta comu lu significatu, l'istruzzioni, la cumunicazzioni, la rapprisintazzioni e ô stìmulu mintali."
Sicilian,"Quannu li dati vennu valutati e si trovanu rilazzioni mpurtanti tra d'iddi, nta chi cosa vennu cunvirtuti?",sù cummirtuti nta nfurmazzioni
Sicilian,Cu cosa accuminzò l'idea dâ nfurmazzioni vista comu un missaggiu?,la pubbricazzioni ntô 1948 di un testu di Claude Shannon
Sicilian,Quali idìi pulìtichi abbrazzò Sarvaturi Giulianu cu tuttu lu so cori?,la causa di na Sicilia siparata di l'Italia
Sicilian,"Chi succedìu a Canepa, Rusanu e Lu Giudice?","Lu stissu Canepa, nzèmmula a dui giùvini militanti, Rusanu e Lu Giudice, fu ammazzatu vicinu Rannazzu nti un scontru chî Carabbineri la matina dû 17 di giugnu 1945, n circustanzi ca ancora nun sunnu chiari."
Sicilian,"Pî nazziunalisti siciliani, chi rapprisenta l'autucuvernu pi lu pòpulu sicilianu?",l'autucuvernu è na vucazzioni naturali dû pòpulu sicilianu
Sicilian,Chi pusizzioni hannu li nazziunalisti siciliani versu l'urganizzazzioni criminali comu Cosa Nostra?,l'avversioni totali versu l'associazzioni criminali Cosa Nostra e versu qualegghiè urganizzazzioni 'n stili mafiusu
Sicilian,"Quannu e di cui fu pubbricatu l'album pi la prima vota nnî Stati Uniti, e cu quali particularitati?",ntô 1991 nnî Stati Uniti dâ Hollywood Records cu l'aggianta di dui bonus track
Sicilian,"Unni e quannu fu cumposta la canzuni ""Tie Your Mother Down"", e qual'era l'occupazzioni di May a ddu tempu?","Tie Your Mother Down fu scritta a Tenerife, quannu May stava travagghiannu o so dutturatu di ricerca 'n Astronomia a l'iniziu du 1968."
Sicilian,"Di quali film nun fa parti la canzuni ""A Kinn of Magic""",A canzuni nun fa parti ru film Highlanner - L'ultimu immortali
Sicilian,Cui fùrunu li prudutturi dâ nova virsioni dâ canzuni,Furunu Mercury e David Richards a prudurri sta nova versioni
Sicilian,Quali eranu li pèrditi subbuti duranti lu naufraggiu di l'ammiragghiu Andrìa Doria ntô 1551?,Li pèrditi foru assai: mureru cchiù di milli òmini e quasi tutti li navi affunnaru.
Sicilian,"Ntô 1630, cui cuncidìu a Giuliu Tomasi di Lampidusa d'assùmiri lu tìtulu di “Prìncipi di Lampidusa”?",Ntô 1630 a Giuliu Tomasi di Lampidusa vinni cuncidutu di Carlu II di Spagna d'assùmiri lu tìtulu di “Prìncipi di Lampidusa”.
Sicilian,Qual è lu ducumentu stòricu cchiù anticu ca ammìntuva lu nomu di Licata?,"Lu ducumentu cchiù anticu ca ammìntuva lu nomu di Licata è l'attu di dunazzioni di parti di Ruggeru d'Altavilla a Girlannu, vìscuvu di Girgenti"
Sicilian,Cu quali appillativu vinìa nnicata la citati ntô ducumentu di dunazzioni di Ruggeru d'Altavilla?,Limpiadum
Sicilian,Chi abbinimenti purtaru a un mpuvirimentu prugrissivu dû tirritoriu di Licata?,Prima la guerra e doppu la crisi dû sùrfiru
Sicilian,A unni ammuttau a emigrari tanti licatisi la svolta n senzu nigativu dî cunnizzioni ecunòmichi ginirali?,"tanti licatisi a emigrari versu lu nord di l'Italia e versu àutri Paisi, suprattuttu n Girmania, Bergiu e Francia e, a dda banna di l'ucèanu, ntê Stati Uniti, ntâ l'Argintina e ntô Vinizzuela."
