Dialect,AI model,Domain,Dialectal question,Dialectal answer,Italian question,Italian answer,Full text
Neapolitan,Gemini 2.5 - flash,literature,"Seconno 'o testo, che sarrìa 'a bestia cchiù feroce d''o munno?",l'ommo nfuriato è 'a bestia cchiù feroce d''o munno,"Secondo il testo, quale sarebbe la bestia più feroce del mondo?",L'uomo infuriato è la bestia più feroce del mondo.,"Se sape, ca l'ommo nfuriato è 'a bestia cchiù feroce d''o munno: Dalle 'a forza mmano mmiez'a 'a furia, e bì che trona te mena Marzo; Va tiene cchiù 'o carro a 'a scesa! Ora sperammo a 'o Cielo ca tutto fenesca priesto: o cu 'e bone, o cu 'e cattive 'e Palermetane s'hanno d'agguatTà, pocca nn'ann'avuto soccurso nì 'int'' a 'a Secilia, nì da fora. E chi se bolea mette' a defenne na caosa sballata? Oie 'e Ppotenzie hanno canosciuto, ca s'hanno da guardà, e respettà tutte nfra 'e lloro, e pe se mantene' stabele, e npace, nn'hanno da fomentà, ni sostene' chille, ca se rebellano contro 'e Rrì, e 'e Naziune. Addonca non sarrà bero, ca l' Austria menaccia 'e venì a Napole a spaccà e pesà, e a guastarece 'o sidece? C. No 'o pozzo crede' compà caro."
Neapolitan,Gemini 2.5 - flash,literature,Pecché 'e Palermetane s'hanno d'agguattà?,"pocca nn'ann'avuto soccorso nì 'int'' a 'a Secilia, nì da fora.",Perché i Palermitani si devono acquattare?,"Perché non hanno avuto soccorso né in Sicilia, né da fuori.","Se sape, ca l'ommo nfuriato è 'a bestia cchiù feroce d''o munno: Dalle 'a forza mmano mmiez'a 'a furia, e bì che trona te mena Marzo; Va tiene cchiù 'o carro a 'a scesa! Ora sperammo a 'o Cielo ca tutto fenesca priesto: o cu 'e bone, o cu 'e cattive 'e Palermetane s'hanno d'agguatTà, pocca nn'ann'avuto soccurso nì 'int'' a 'a Secilia, nì da fora. E chi se bolea mette' a defenne na caosa sballata? Oie 'e Ppotenzie hanno canosciuto, ca s'hanno da guardà, e respettà tutte nfra 'e lloro, e pe se mantene' stabele, e npace, nn'hanno da fomentà, ni sostene' chille, ca se rebellano contro 'e Rrì, e 'e Naziune. Addonca non sarrà bero, ca l' Austria menaccia 'e venì a Napole a spaccà e pesà, e a guastarece 'o sidece? C. No 'o pozzo crede' compà caro."
Neapolitan,Gemini 2.5 - flash,literature,Cómmo se presenta Bonni appena riturnato a Napule?,"Eccome ccà 'e retuorno tunno, frisco, e allerio cchiù 'e chello nche me partette da Napole.",Come si presenta Bonni appena ritornato a Napoli?,"Eccomi qui di ritorno, sano e salvo, fresco e più allegro di come ero quando partii da Napoli.","Bonni, Compà Sebè: Eccome ccà 'e retuorno tunno, frisco, e allerio cchiù 'e chello nche me partette da Napole. Bemmenuto Comparone mio. E comme? me dice, ca te ne vaie pe tre o quatto juorne, e pò te sì stato fora cchiù 'e no mese? Addò te sì nfrociuto tutto stò tiempo? C. E chi te 'o bbò conta? Aggio gerato 'a Lecca e 'a Mecca comme se dice. Aggio mesurato a parmo a parmo tutte 'e Provencie d''o Regno; e mme sò addecriato trovanno pe tutto na coietutene, no ntosiasmo, n'aunione ch'è no Paraviso. Pe 'e strade, a 'e Chiazze, e 'a campagna, 'int'a 'e Taverne, mmiez'a 'e Chiesie auto non stente ca benneziune a 'o Rrè nuosto, a 'o Prencepe, e a 'a Costetozione. Addonca nProvencia non nce sò partite, non nce sò mbruoglie? C. Tu quà mbruoglie, e quà partite, vaie contanno?"
Neapolitan,Gemini 2.5 - flash,literature,"Doppo tanto tempo fòra, che aggio fatto e che aggio truvato giranno 'e Provencie d''o Regno?","Aggio gerato 'a Lecca e 'a Mecca comme se dice. Aggio mesurato a parmo a parmo tutte 'e Provencie d''o Regno; e mme sò addecriato trovanno pe tutto na coietutene, no ntosiasmo, n'aunione ch'è no Paraviso.","Dopo tanto tempo via, cosa ho fatto e cosa ho trovato girando le Province del Regno?","Ho girato in lungo e in largo, come si suol dire. Ho misurato palmo a palmo tutte le Province del Regno; e mi sono rallegrato trovando dappertutto una quiete, un entusiasmo, un'unione che è un Paradiso.","Bonni, Compà Sebè: Eccome ccà 'e retuorno tunno, frisco, e allerio cchiù 'e chello nche me partette da Napole. Bemmenuto Comparone mio. E comme? me dice, ca te ne vaie pe tre o quatto juorne, e pò te sì stato fora cchiù 'e no mese? Addò te sì nfrociuto tutto stò tiempo? C. E chi te 'o bbò conta? Aggio gerato 'a Lecca e 'a Mecca comme se dice. Aggio mesurato a parmo a parmo tutte 'e Provencie d''o Regno; e mme sò addecriato trovanno pe tutto na coietutene, no ntosiasmo, n'aunione ch'è no Paraviso. Pe 'e strade, a 'e Chiazze, e 'a campagna, 'int'a 'e Taverne, mmiez'a 'e Chiesie auto non stente ca benneziune a 'o Rrè nuosto, a 'o Prencepe, e a 'a Costetozione. Addonca nProvencia non nce sò partite, non nce sò mbruoglie? C. Tu quà mbruoglie, e quà partite, vaie contanno?"
Neapolitan,Gemini 2.5 - flash,literature,"Chi era Cornelio Gallo, e che ffaceva 'e bello primma d' 'a sventura?","Cornelio Gallo sordato, e poeta, che scriveva, e pparlava comm'a n'Agnelo, e aveva tradutto in latino l'Euforione, e scritto quattro libre d'ammore pe na sbriffea chiammata Citeride","Chi era Cornelio Gallo, e che faceva di bello prima della sventura?","Cornelio Gallo, soldato e poeta, che scriveva e parlava come un angelo, e aveva tradotto in latino l'Euforione e scritto quattro libri d'amore per una cortigiana chiamata Citeride.","⁠Screvette Vergilejo, comme avimmo ditto 'a Georgeca a nnore 'e Mecenate, ma pecchè era carne, e ogna cu Cornelio Gallo sordato, e poeta, che scriveva, e pparlava comm'a n'Agnelo, e aveva tradutto in latino l'Euforione, e scritto quattro libre d'ammore pe na sbriffea chiammata Citeride ( uh da quanto tiempo sperze) perzò Marone 'n fine d''o quarto libro d''a Georgeca, avea laudato sto Gallo sino a 'e quatto celeste, ma Austo l'ordenaje, che avesse scacato tutto, pocca sto Cornelio a 'o ddereto s'era sbregognato 'n Agitto, addò jette pe Proculatore, e da Gallo deventato cuorvo s'era trovato 'mmescato a cose brutte (diceno 'e mmale lengue a na cognura contro Cesà, e che scommegliato, se fosse isso stisso sfeccagliato) Conca sia, Vergilejo nne zompaje da 'a Georgeca Gallo, e nce mettie 'a favola d'Aresteo."
Neapolitan,Gemini 2.5 - flash,literature,"Pecché l'imperatore Austo le dicette a Virgilio 'e cagnà 'o testo, facenno scacà 'a parte 'e Gallo?","Austo l'ordenaje, che avesse scacato tutto, pocca sto Cornelio a 'o ddereto s'era sbregognato 'n Agitto, addò jette pe Proculatore, e da Gallo deventato cuorvo s'era trovato 'mmescato a cose brutte","Perché l'imperatore Augusto disse a Virgilio di cambiare il testo, facendo eliminare la parte di Gallo?","Augusto glielo ordinò, che cancellasse tutto, perché questo Cornelio si era disonorato gravemente in Egitto, dove andò come Procuratore, e da persona onorevole si era trasformato in un infame, trovandosi immischiato in brutte faccende.","⁠⁠Screvette Vergilejo, comme avimmo ditto 'a Georgeca a nnore 'e Mecenate, ma pecchè era carne, e ogna cu Cornelio Gallo sordato, e poeta, che scriveva, e pparlava comm'a n'Agnelo, e aveva tradutto in latino l'Euforione, e scritto quattro libre d'ammore pe na sbriffea chiammata Citeride ( uh da quanto tiempo sperze) perzò Marone 'n fine d''o quarto libro d''a Georgeca, avea laudato sto Gallo sino a 'e quatto celeste, ma Austo l'ordenaje, che avesse scacato tutto, pocca sto Cornelio a 'o ddereto s'era sbregognato 'n Agitto, addò jette pe Proculatore, e da Gallo deventato cuorvo s'era trovato 'mmescato a cose brutte (diceno 'e mmale lengue a na cognura contro Cesà, e che scommegliato, se fosse isso stisso sfeccagliato) Conca sia, Vergilejo nne zompaje da 'a Georgeca Gallo, e nce mettie 'a favola d'Aresteo."
Neapolitan,Gemini 2.5 - flash,literature,Comme veneva descritto Polleone dinto 'a corte?,"Polleone Cennerale d'armate, ommo cu 'e baffe",Come veniva descritto Napoleone alla corte?,"Napoleone, generale d'armate, uomo con i baffi","N corte nc'era Polleone Cennerale d'armate, ommo cu 'e baffe, Cesà 'nce ne fice no presiento: nc'era purzì Alfeno Varo, Corneleo Gallo, commannante a guerra cu ll'accellenzeja, tutte se 'o facettero ammico, e Vergilejo l'appe obbreco, pocca dapò 'a struzzejone 'e Bruto, e Cassejo nne 'e campe Felippece s'ordenaje 'a spartenza d''e mmassarie chiù nnillà d''o sciummo Pò a 'e sordate vettoriuse, e nce ncappaje a avè sto guajo Vergilejo, che teneva no campo a Mmanrova pajese sujo, e Polleone che commannava 'n chella Provinceja, nce 'o fice restituì: no mmalora 'e sargente, che se nn'era fatto patrone nne fu cacciato cu na mano nnante, e n'autra dereto, pe 'a quale cosa chisto se pigliaje tanta collera, che ne voleva fruscià Marone, e se no scappava, era fritto, ma po certa bona gente fice strunzo 'n miezo, e ccierte riale nce mettijeno pace, e 'o segillo."
Neapolitan,Gemini 2.5 - flash,literature,"Addò teneva nu campo Vergilejo, e qual era 'o pajese sujo?","Vergilejo, che teneva no campo a Mmanrova pajese sujo","Dove aveva un campo Virgilio, e qual era il suo paese?","Virgilio, che aveva un campo a Mantova, suo paese","N corte nc'era Polleone Cennerale d'armate, ommo cu 'e baffe, Cesà 'nce ne fice no presiento: nc'era purzì Alfeno Varo, Corneleo Gallo, commannante a guerra cu ll'accellenzeja, tutte se 'o facettero ammico, e Vergilejo l'appe obbreco, pocca dapò 'a struzzejone 'e Bruto, e Cassejo nne 'e campe Felippece s'ordenaje 'a spartenza d''e mmassarie chiù nnillà d''o sciummo Pò a 'e sordate vettoriuse, e nce ncappaje a avè sto guajo Vergilejo, che teneva no campo a Mmanrova pajese sujo, e Polleone che commannava 'n chella Provinceja, nce 'o fice restituì: no mmalora 'e sargente, che se nn'era fatto patrone nne fu cacciato cu na mano nnante, e n'autra dereto, pe 'a quale cosa chisto se pigliaje tanta collera, che ne voleva fruscià Marone, e se no scappava, era fritto, ma po certa bona gente fice strunzo 'n miezo, e ccierte riale nce mettijeno pace, e 'o segillo."
Neapolitan,Gemini 2.5 - flash,literature,Quanto tiempo duraie l'ascenzione d''o viaggio 'e Dante nfino a 'o Trono 'e Dio?,tre ore nfino a 'o Trono 'e Dio,Quanto tempo durò l'ascensione del viaggio di Dante fino al Trono di Dio?,tre ore fino al Trono di Dio,"⁠'O viaggio 'e Dante tenette n'ascenzione che duraie tre ore nfino a 'o Trono 'e Dio, cu l'accompagnamiento 'e San Bennardo, e se trovaie a 'e piede d''a Biata Vergene a 'a fine d''a primma vegilia d''o iuorno , secunno 'o rilorgio 'e Gierusalemme, e quanno feneva 'o iuorno apprile 'o rilorgio 'e Sciorenza, potette sentì 'a voce 'e ll'Agnelo Rabiele 'o quale allebrecava 'n Cielo a 'a Mamma Maria, 'e pparole: Ave, Maria, gratia plena, cu 'e quale era dinto a chillo momento salutata da 'e devote suoie d''o popolo taliano quanno asceva 'o iuorno 'e Pasca d''o primmo anno santo. ⁠Che cosa è 'o Nfierno 'e Dante?"
Neapolitan,Gemini 2.5 - flash,literature,Cu chi viaggiaie Dante durante a soia ascenzione?,cu l'accompagnamiento 'e San Bennardo,Con chi viaggiò Dante durante la sua ascensione?,con l'accompagnamento di San Bernardo,"⁠'O viaggio 'e Dante tenette n'ascenzione che duraie tre ore nfino a 'o Trono 'e Dio, cu l'accompagnamiento 'e San Bennardo, e se trovaie a 'e piede d''a Biata Vergene a 'a fine d''a primma vegilia d''o iuorno , secunno 'o rilorgio 'e Gierusalemme, e quanno feneva 'o iuorno apprile 'o rilorgio 'e Sciorenza, potette sentì 'a voce 'e ll'Agnelo Rabiele 'o quale allebrecava 'n Cielo a 'a Mamma Maria, 'e pparole: Ave, Maria, gratia plena, cu 'e quale era dinto a chillo momento salutata da 'e devote suoie d''o popolo taliano quanno asceva 'o iuorno 'e Pasca d''o primmo anno santo. ⁠Che cosa è 'o Nfierno 'e Dante?"
