Dialect,Domanda,Risposta
Sicilian,Chi tipu di canzuni è chidda cumposta e cantata di Roger Taylor e a cui è didicata?,Canzuni 'n stili hard rock cumposta e cantata ra Roger Taylor e dedicata a la so granni passioni pi l'automobbili.
Sicilian,Qual è l'unica traccia di l'album cumposta di John Deacon e a cu è didicata?,L'unica traccia ri l'album cumposta ra John Deacon; è decicata a mugghieri Veronica.
Sicilian,Chi caratteristica hannu li turbini Francis e Kaplan ca garantisci na frichenza di currenti elèttrica custanti?,"li turbini Francis e Kaplan hannu sistemi di regulazzioni dê pali, ca assicùranu na frichenza di currenti elèttrica custanti."
Sicilian,Chi voli diri quannu si dici ca li turbini sunnu rivirsìbbili?,si ponnu traspurmari di màchini mutrici (turbina) a màchini upiratrici ( na pompa ppi asèmpiu ).
Sicilian,Unni s'hannu sparsi l'ebbrei suprattuttu cû jiri dî sèculi?,"s'hannu sparsi suprattuttu 'n Mediu Urienti, 'n Nord Àfrica e 'n Europa"
Sicilian,Quali foru li dui gruppi d'ebbrei ca si distincheru cû tempu?,"l' ashkenazi, zoè l'ebbrei di l'Europa nord-urintali, e li sifarditi"
Sicilian,Comu si trasformò Jaci Trizza a partiri di l'Ottucentu e quali foru li primi risurtati dâ nova attivitati?,"Jaci Trizza addivintò sempri cchiù assai paisi di piscatura, ma cu risurtati nun tantu boni, ca la pisca arrinascìa appena a dunari dda cosa pi campari."
Sicilian,"Versu la fini di lu Novicentu, comu si sviluppò lu paisi di Trizza 'n termini di custruzzioni, e cu era lu pùbblicu a cui eranu distinati sti novi strutturi?","Ammeri la fini di lu '900, mentri lu cummerciu di la pisca jìa ngranninnusi, lu paisi di Trizza si sviluppò nta la custruzzioni di abbitazzioni, spissu a la sanfasò, pi la custruzzioni di arbegghi e tantissimi ""villini"" distinati a li catanisi sempri cchiù attratti di li biddizzi dû paisaggiu."
Sicilian,Chi cosa è l'acitu di pàssula e di unni veni urigginariamenti?,l'acitu fattu chî dàttuli e macari un pruduttu tradizziunali di l'Orienti Mizzanu è.
Sicilian,Unni veni pruduciutu l'acitu fattu cu la birra?,"nnô Rignu Unciutu, Girmania, Austria e Paisi Vasci"
Sicilian,Comu veni pruduciutu l'acitu?,L'acitu è un lìchitu àcitu (pH n gèniri ntrô 2 e 3) pruduciùtu pi mmenzu dâ firmintazzioni di l'etanolu
Sicilian,Qual è la cuncintrazzioni tipica d'àcitu acìticu ntô acitu cumuni?,L'acìtu cumuni avi na cuncintrazzioni tipica d'àcitu acìticu chi va dû 5% a l'8%.
Sicilian,"Di chi duttrina si parra quannu si menziona ""l'uriggini""?",dâ duttrina libbirista dû laissez faire
Sicilian,"Comu si traduci la sprissioni ""laissez faire"" 'n lingua francisi, secunnu lu testu?","""lassati faciri"" 'n francisi"
Sicilian,"Cui ricevi l'anuri maiuri ntâ citati, nonustanti lu patronu ufficiali?","Sibbeni lu patronu ufficiali dâ citati sìa San Girlannu, è a San Calòggiru ca sunnu tribbutati l'anuri maiuri."
Sicilian,Comu si svorgi la prucissioni pi lu Santu Niru?,"la prucissioni, rigurusamenti a spadda, è accumpagnata di li grida di li fideli, di li canti e di la banna."
Sicilian,Sutta lu regnu di quali tirannu vinni fabbricata na prutezzioni difinziva cu un muragghiuni ntornu a cità?,"Ntô regnu dû tirannu Falaride (570-554 a.C.), vinni fatta na prutezzioni difinziva cu un muragghiuni ntornu a cità."
Sicilian,Quali fu lu cchiù famusu e llustri citatinu di Akragas ca campau duranti ddu pirìudu di prusperitati?,"Lu cchiù famusu e llustri citatinu ca campau tannu, fu lu cèlibbri filòsufu e scinziatu Empèdocli."
Sicilian,A quali scopu Turing usau li sô capacitati matimàtichi duranti la Sècunna Verra Munniali?,pi dicifrari li còdici usati ntê cumunicazzioni tudischi
Sicilian,"Quali strumentu criau Turing grazzi â sô mmintiva, e comu era discrittu?","un strumenti chiamatu Colossus (n'ammassu di servumutura e mitallu, ma comli gghiè un primu passu versu un computer diggitali)"
Sicilian,Cu fici un accordu cu l'Alfa Romeo pì la fornitura di mutura e pì quali pirìudu?,"Bernie Ecclestone, prupritariu dâ Brabham, fici un accordu cu l'Alfa Romeo pì la fornitura di mutura dâ 1976 ô 1979."
Sicilian,"Pi ovviari a lu cunsumu elevatu di carburanti, chi suluzioni aduttaru?",eranu nstallati quattru serbatoi da 214 L.
