Dialect,Domanda,Risposta
Sicilian,Cui è ca truvau l'intesa pì fari furniri i mutura nta la secunna mità di l'anni settanta?,"Bernie Ecclestone, prupritariu dâ Brabham, fici un accordu cu l'Alfa Romeo pì la fornitura di mutura dâ 1976 ô 1979."
Sicilian,Pirchì si dici ca a configurazioni dû muturi era troppu cumplicata pì la manutenzioni?,sulu pì cancìari i cannili lu prupulsuri annava livatu
Sicilian,Quali fu lu primu eventu a dibbuttari nnû 2023 didicatu a na liggenna dû wrestling?,"lu prima a dibbuttari fu WrestleDream, aventu pi ricurdari la liggenna dû wrestling Antonio Inoki"
Sicilian,Chi cosa criau la All Elite Wrestling nnû 2020?,"La All Elite Wrestling funnàu nnû 2020 na mprisa didicata ô sviluppu di vidèojoca, chiamata AEW Games"
Sicilian,Comu era la figghia di lu Re?,"bedda quantu Diu la potti fari, un suli!"
Sicilian,Di unni vinìanu scelti li paggi chi stavanu a Curti?,tra la megghiu giuventù di tuttu lu regnu
Sicilian,Chi successi all'elizzioni prisidinziali cummucati doppu a morti di Chávez?,lu prisidenti Nicolás Maduro vinni elettu ntra accusi di frodi pi parti dâ upposuzzioni cumannata di Henriche Capriles Rannoski
Sicilian,Quali sunnu li prudutti alimentari chî prezzi rigulati ca accuminciaru a scarsiggiari?,"lu latti, li vari tipi di carni, lu gaddinu, lu caffè, lu risu, l'ogghiu, la farina pri-fabbricata, burru"
Sicilian,Chi abbinimintu storicu successi l'ùnnici d'aprili doppu na manifestazzioni a Caracas?,"l'11 àprili 2002, si virificàu chiddhu ca è canusciutu comu lu colpu di statu dû 2002"
Sicilian,Cui pigghiau lu putiri dicennu d'èssiri Prisidenti quannu parìa ca Chávez s'avìa dimissu?,"Pedro Carmona, capu dû Fedecámaras, si pruclamau Prisidenti cû lu supportu dâ CTV e di diversi partiti pulìtici di l'opposizzioni"
