Dialect,Domanda,Risposta
italian,"Secondo i ritrovamenti antichi, da quanto tempo è abitata questa zona?",Molti ritrovamenti archeologici attestano che il terreno era abitato già nel III secolo prima di Cristo.
italian,Quando si riprese la situazione agricola e chi la fece ripartire?,"La ripresa arrivò solo dopo il VI secolo, con l'azione dei monaci Cassinesi, Benedettini."
italian,Quali erano le due possibilità che Napoleone aveva per affrontare chi lo voleva combattere?,"Ammassare i soldati tra i fiumi Senna e Marna e difendersi su due fronti, o attaccare subito le forze alleate in Olanda."
italian,"Che cosa avrebbero dovuto fare i generali come Rapp, Suchet e gli altri mentre Napoleone attaccava?",Mantenere il controllo per proteggere i confini e combattere le rivolte realiste.
italian,Quando e dove ha avuto luogo il sorteggio?,"Il 9 dicembre 1989, presso lo Stadio Olimpico di Roma, si è svolto il sorteggio."
italian,Chi ha presentato la serata e chi ha fatto da madrina?,"Pippo Baudo ha condotto la serata di gala, e Sophia Loren ha fatto da madrina."
italian,Come sono state le spese per organizzare questo Mondiale?,I costi sono stati molto alti
italian,Chi eliminò la Polonia dalle qualificazioni?,Inglesi e svedesi
italian,Come si preparano i fiori di zucca?,I fiori di zucca si preparano fritti con la pastella
italian,Quali sono le olive nere che si usano nella cucina napoletana?,Le olive di Gaeta
