Dialect,Domanda,Risposta
Roman,Che je chiede er re a la madre pe' er giorno appresso?,"ddomani, pe' ppranzo, fateme 'na bbella pizza"
Roman,Che ce mette Maria drento a la pizza che sta a preparà?,l'anello che j'aveva rigalato e' re a la festa da bballo
Roman,Come l'ha presa la madre der prence a la fine de la storia?,se contentò ch'er fijo se la sposasse
Roman,Come so' stati marito e moje dopo er matrimonio?,vvìsseno alegri e ccontenti
Roman,Che j'ha detto de fà er re a li fiji co' le palle d'oro?,annate in cima ar monte e ttiratele ggiù
Roman,Indove è ita a finì la palla de Nicolino?,drent'a un fosso
Roman,Che fecero l'artri ar fratello ppiù cciuco?,"incominciorno a mminchionà' er fratello ppiù cciuco, dicènnoje che sse fusse annato a ttrova la moje drent'ar fosso."
Roman,Che j'ha risposto la ranocchia quanno lui je disse che era la sposa sua?,"- Va bbene; quanno me vòi, viemme a pijà'."
Roman,Pe' quale motivo chiameno la ppiù piccola?,perchè l'ajutasse a staccasse de llà
Roman,Che se vedeva dato che er mantello nu n'era lungo abbastanza?,"er culetto de quella ppiù ppiccola, era rimasto in mostra"
