Dialect,Domanda,Risposta
italian,Che tipo di canzone è quella composta e cantata da Roger Taylor e a cui è dedicata?,Canzone in stile hard rock composta e cantata da Roger Taylor e dedicata alla sua grande passione per le automobili.
italian,Qual è l'unica traccia dell'album composta da John Deacon e a chi è dedicata?,L'unica traccia dell'album composta da John Deacon; è dedicata alla moglie Veronica.
italian,Che caratteristica hanno le turbine Francis e Kaplan che garantisce una frequenza di corrente elettrica costante?,"Le turbine Francis e Kaplan hanno sistemi di regolazione delle pale, che assicurano una frequenza di corrente elettrica costante."
italian,Cosa significa quando si dice che le turbine sono reversibili?,Si possono trasformare da macchine motrici (turbina) a macchine operatrici (una pompa per esempio).
italian,Dove si sono sparsi gli ebrei soprattutto con il passare dei secoli?,"Si sono sparsi soprattutto in Medio Oriente, in Nord Africa e in Europa"
italian,Quali furono i due gruppi di ebrei che si distinsero con il tempo?,"Gli Ashkenazi, cioè gli ebrei dell'Europa nord-orientale, e i Sefarditi"
italian,Come si trasformò Aci Trezza a partire dall'Ottocento e quali furono i primi risultati della nuova attività?,"Aci Trezza divenne sempre più un paese di pescatori, ma con risultati non molto buoni, perché la pesca riusciva appena a dare il necessario per sopravvivere."
italian,"Verso la fine del Novecento, come si sviluppò il paese di Trezza in termini di costruzioni, e chi era il pubblico a cui erano destinate queste nuove strutture?","Verso la fine del '900, mentre il commercio della pesca andava ingrandendosi, il paese di Trezza si sviluppò nella costruzione di abitazioni, spesso in modo disordinato, per la costruzione di alberghi e tantissimi ""villini"" destinati ai catanesi sempre più attratti dalle bellezze del paesaggio."
italian,Che cos'è l'aceto di datteri e da dove proviene originariamente?,È l'aceto fatto con i datteri ed è anche un prodotto tradizionale del Medio Oriente.
italian,Dove viene prodotto l'aceto fatto con la birra?,"Nel Regno Unito, Germania, Austria e Paesi Bassi"
italian,Come viene prodotto l'aceto?,L'aceto è un liquido acido (pH generalmente tra il 2 e il 3) prodotto per mezzo della fermentazione dell'etanolo.
italian,Qual è la concentrazione tipica di acido acetico nell'aceto comune?,L'aceto comune ha una concentrazione tipica di acido acetico che va dal 5% all'8%.
italian,"Di quale dottrina si parla quando si menziona ""l'origine""?",dalla dottrina liberista del laissez-faire
italian,"Come si traduce l'espressione ""laissez faire"" in lingua francese, secondo il testo?","""lasciate fare"" in francese"
italian,"Chi riceve gli onori maggiori nella città, nonostante il patrono ufficiale?","Sebbene il patrono ufficiale della città sia San Gerlando, è a San Calogero che sono tributati gli onori maggiori."
italian,Come si svolge la processione per il Santo Nero?,"La processione, rigorosamente a spalla, è accompagnata dalle grida dei fedeli, dai canti e dalla banda."
italian,Sotto il regno di quale tiranno venne fabbricata una protezione difensiva con un muraglione intorno alla città?,"Nel regno del tiranno Falaride (570-554 a.C.), venne realizzata una protezione difensiva con un muraglione intorno alla città."
italian,Quale fu il più famoso e illustre cittadino di Akragas che visse durante quel periodo di prosperità?,"Il più famoso e illustre cittadino che visse allora, fu il celebre filosofo e scienziato Empedocle."
italian,Per quale scopo Turing usò le sue capacità matematiche durante la Seconda Guerra Mondiale?,per decifrare i codici usati nelle comunicazioni tedesche
italian,"Quale strumento creò Turing grazie alla sua inventiva, e come era descritto?","uno strumento chiamato Colossus (un ammasso di servomotori e metallo, ma comunque un primo passo verso un computer digitale)"
italian,Chi fece un accordo con l'Alfa Romeo per la fornitura di motori e per quale periodo?,"Bernie Ecclestone, proprietario della Brabham, fece un accordo con l'Alfa Romeo per la fornitura di motori dal 1976 al 1979."
italian,"Per ovviare al consumo elevato di carburante, che soluzioni adottarono?",Furono installati quattro serbatoi da 214 L.
