Dialect,Domanda,Risposta
italian,Chi fu che trovò l'intesa per far fornire i motori nella seconda metà degli anni settanta?,"Bernie Ecclestone, proprietario della Brabham, fece un accordo con l'Alfa Romeo per la fornitura di motori dal 1976 al 1979."
italian,Perché si dice che la configurazione del motore era troppo complicata per la manutenzione?,Solo per cambiare le candele il propulsore andava rimosso.
italian,Qual è stato il primo evento a debuttare nel 2023 dedicato a una leggenda del wrestling?,"Il primo a debuttare è stato WrestleDream, per ricordare la leggenda del wrestling Antonio Inoki."
italian,Che cosa ha creato la All Elite Wrestling nel 2020?,"La All Elite Wrestling ha fondato nel 2020 un'impresa dedicata allo sviluppo di videogiochi, chiamata AEW Games."
italian,Come era la figlia del Re?,"Bella quanto Dio la poté fare, un sole!"
italian,Da dove venivano scelti i paggi che stavano a Corte?,Tra la migliore gioventù di tutto il regno
italian,Cosa successe alle elezioni presidenziali convocate dopo la morte di Chávez?,Il presidente Nicolás Maduro fu eletto tra accuse di frode da parte dell'opposizione comandata da Henrique Capriles Radonski
italian,Quali sono i prodotti alimentari con i prezzi regolati che hanno cominciato a scarseggiare?,"Il latte, i vari tipi di carne, il pollo, il caffè, il riso, l'olio, la farina prefabbricata, il burro"
italian,Che avvenimento storico successe l'undici di aprile dopo una manifestazione a Caracas?,"l'11 aprile 2002, si verificò quello che è conosciuto come il colpo di stato del 2002"
italian,Chi prese il potere dicendo di essere Presidente quando sembrava che Chávez si fosse dimesso?,"Pedro Carmona, capo di Fedecámaras, si proclamò Presidente con il supporto della CTV e di diversi partiti politici dell'opposizione"
