Dialect,Domanda,Risposta
Neapolitan,"Siconno 'e ritrovamiente antiche, da quanno tiempo è abbitata chesta zzona?",Assaje ritrovamiente archeologgece attestano ca 'o terrieno era abbitato ggià ô III seculo primma 'e Cristo.
Neapolitan,Quanno se rripigliaje 'a situazzione agricula e chi a facette ripartì?,"'A ripresa arrivatte sulo aropp'ô VI seculo, cu ll'azzione d' 'e monace Cassiinese, Benedettine."
Neapolitan,Quali erano 'e ddoje pussibilità ca Napulione teneva p'affruntà chi 'o vuleva cumbattere?,"ammassà 'e surdate nfra 'e sciumme Senna e Marna e se defenne' 'ncoppa a ddoje parte, o attaccà susso 'e fforze alliate in Olanna"
Neapolitan,"Che cosa avarrìano avuto fa 'e generale comm'a Rapp, Suchet e ll'ate mentre Napulione attaccava?",tenuto 'o quateno 'e prutegge 'e cunfine e cummatte 'e revolte realiste
Neapolitan,Quanno e addò avette luoco 'o surteggio?,"O' 9 'e dicembre 1989, 'int'o restaurate Olimpico e'Romma, se facette o surteggio."
Neapolitan,Chi presentaje 'a serata e chi facette da madrina?,"Pippo Baudo connucette a' serata e' gala, e Sophia Loren facette a madrina"
Neapolitan,Comm'erano e spese p'organizazzà stu Munniale?,I costi erano grossi assaje
Neapolitan,Chi facette fora a Pulonia d'e qualificazzion?,ngresi e svedesi
Neapolitan,Comme se priparano 'e sciurille?,'E sciurille se priparano fritte c' 'a pastetta
Neapolitan,Quali songo l'aulive nere ca s'ausano 'int'' 'a cucina napulitana?,l'aulive 'e Gaeta
