Dialect,Domanda,Risposta
italian,Perché la ragazza voleva farti togliere questa fatica?,"non ho più né anello, né velo, né pianella"
italian,Cosa c'era scritto in quegli affissi che il re aveva fatto mettere per tutto il paese?,"che chi si fosse presentato come il salvatore della figlia, lui gliel'avrebbe data in sposa, anche se fosse stato uno straccione"
italian,"Cosa diceva la vecchia più anziana, preoccupata per l'ora e per i loro mariti?",È suonata mezzanotte e i nostri mariti non si vedono.
italian,"Cosa si è presa la seconda per la spedizione, e che potere aveva la sua arma?","""Io,"" disse la seconda, ""prenderò la spada che, come si gira, uccide un esercito intero."""
italian,"Cosa gli disse la donna al tipo, per toglierselo di torno?","Prenditi la vitella e va' a morire, maledetto!"
italian,Che spiegazione diede il buonuomo quando gli venne chiesto di reggere la vitella?,"Io ho una figlia malata; se non sia mai a quella le viene la fantasia della vitella, come faccio?"
italian,Cosa stava facendo la ragazza quando il moro le chiese perché bussava?,sbattevo questo sasso su questa trave
italian,Cosa le promise il moro alla ragazza se avesse voluto andare con lui?,io ti faccio la padrona e la regina di tutta la mia roba
italian,Cosa dicevano quelli che vedevano l'anello?,Quest'anello vale un regno; chi può mai avere tanti soldi per comprarlo?
italian,Cosa fece la giovane quando decise di andarsene via?,"Lei allora saluta tutti, monta a cavallo, tutta vestita da uomo, e se ne va."
italian,Cosa faceva Betta tutte le sere con i vasi di fiori?,Betta tutte le sere andava a innaffiare questi fiori.
italian,Come si sentì il figlio del re dopo la risposta svelta di Betta?,"Il re si trovò mortificato, e non seppe che rispondere."
italian,Cosa offrì il primo uomo al campagnolo?,Ti do tre carlini
italian,Cosa chiese il campagnolo alla donna una volta che si trovò alla porta?,Mi faresti il piacere di farmi posare per un attimo il sacco che porto in spalla; perché mi sento svenire dalla stanchezza?
italian,Cosa gli rispose il primo uomo quando gli fu chiesto di andare al palazzo del re?,"Volentieri, basta che prima mi aspetti che mi mangi questo uccelletto."
italian,Perché non si poteva muovere l'uomo appoggiato alla montagna?,Perché sto reggendo con le spalle questa montagna; altrimenti cade.
italian,Cosa è successo al padre e ai fratelli nel vederlo partire in quella barca magica?,"Restarono di pietra pomice, restarono!"
italian,Cosa stava facendo quell'omone quando lo vede mentre stava per entrare nell'imboccatura di un fiume?,Si beveva tutta l'acqua che sfociava nel fiume da un altro fiumetto più piccolo.
italian,Come si chiamava il frate di cui si parla nella storia?,padre Battimela
italian,"Cosa disse il marito alla moglie, dopo che ebbe capito l'affare?",Quanto sei ingenua! Me lo potevi dire prima.
italian,Cosa promise la vecchia a suo figlio?,Ti voglio aiutare
italian,"Che cosa gli farà portare a casa la vecchia, e che particolarità avrà questo letto?","Ti farò portare a casa tua un bel letto, che ai quattro angoli ha quattro moretti che mangiano e parlano come noi."
italian,Cosa disse il re quando seppe del fatto del garofano?,Questo è un uomo per davvero.
italian,Cosa disse lei subito quando entrò dentro al canneto?,Che belle canne per fare fucili!
italian,Cosa diceva sempre il re mentre si abbuffava di capellini?,"Mamma mia, quanto sono buoni, mamma mia, quanto sono buoni!"
italian,"Quando Maria ha cominciato a impastare la pizza, cosa ci mise dentro, e che anello era?","Maria allora si mette a fare questa pizza, e dentro ci mette l'anello che le aveva regalato il re alla festa da ballo."
