Dialect,Domanda,Risposta
Neapolitan,Che tipo 'e scena vene descritta quanno se parla 'e pertuse e 'e l'animale ca ascevano?,D' ogne pertuso 'a lacerta asceva
Neapolitan,'O testo ce dice na cosa 'e sta persona: nun è 'e Foggia. E allura che cos'è?,Non è 'e Foggia ed è no caparrone
Neapolitan,"A proposeto d'a mugliera e d'o marito ca fatica, cosa succede spisso a casa quanno isso tene 'e bbracce rotte?","Nun è comme a muglierema che, a' casa, quann'io ce vaco cu sti bbracce rotte, è capace 'e me 'e' quase ogne notte: - Ma comme, sulo ccà nun vuo' scupa'?"
Neapolitan,"Che ammonimento finale ce vene dato 'a 'o testo, a proposito d'a vita e d'a scemenza, pure si nuje simmo 'e ""fino""?","Fatte capace: aje voglia ca sî ffino 'a vita te fa scemo, si 'e piace ."
Neapolitan,"Si putisse spiegà, che sarrìa 'o bbacànte 'i nàtica?",U bbacànte 'i nàtica è nu taglio 'e carne vaccina.
Neapolitan,"Cosa è succiesso mmiezo â piazzetta, ncopp'a na rissa?",Mmiezo â piazzetta nu ballómmo s'è appiccicáto cu na femmina..
Neapolitan,"Ncopp'a che tema ha scritto 'o libbro l'autore, seconno chello ca dice 'o testo?",io aggio scritto nu libbro addó se stùria comme s'ha dda prununzià e scrìvere 'a lenga napulitana.
Neapolitan,Comme sape l'autore ca 'stu napulitano famoso parlasse 'o dialetto?,"Isso 'o pparlava 'o nnapulitano; 'o ssaccio, pecché pure isso ha scritto certi ppuosie napulitane."
Neapolitan,"Secondo 'a regola proposta p'a scrittura, comm'aggia scrìvere 'e cconzunante?",cu na sola cunzunante quanno chesta se trova nnante a na parola e ccu ddoie quanno chesta sta ddint'â parola
Neapolitan,Quali so' quacche asempio 'e pparole ca se pronùnziano cu 'a primma cunzunante doppia?,"ccà, cchiù, Cchiesia, Ddio, dduie, llà, lloco, lloro, nne, rre, rrobba"
Neapolitan,A chi o a che cosa vanno 'e milioni 'e euro ca 'e diocesi e congregazioni religiose 'e tutto 'o munno sostengono?,"sostengono 'o lavoro 'o Papa, 'e congregazioni vaticane, 'e concili e 'e tribunali ecclesiastici cu milioni 'e euro."
Neapolitan,"In che modo 'e diocesi tedesche danno 'o lloro contributo 'a Chiesa universale, visto ca 'o Vaticano tene compiti 'e carattere generale?",tutte 'e diocesi tedesche contribuiscono cu 'na quota annua a 'sti compiti 'a Chiesa universale attraverso 'a Associazione 'e Diocesi 'e Germania.
Neapolitan,A quali organismi sportivi nun è associata 'a selezione 'e futbol d''a Città d''o Vaticano?,"'na selezione 'e futbol, ca nun è associata a 'a UEFA, a 'a FIFA, né a 'o COI."
Neapolitan,"In ambito 'e Giochi Olimpici, qual è 'a particolarità d''a Città d''o Vaticano?",'o sulo paese ca nun ha partecipato a 'e Giochi Olimpici.
Neapolitan,Chi fuje Abraham Lincoln pe' 'e State Aunite d'Amereca?,'o sedicesemo presiriente d''e State Aunite d'Amereca
Neapolitan,Che studie facette Abraham Lincoln e che reputazzione s'accucchiaje?,"facette 'e primme studie 'e Giurisprudenza, guadagnannose na'soleda reputazzione ppe 'a onestà"
Neapolitan,Quanno fuje afficialezzato 'o cuvierno 'e transiziona guidato 'a Hamid Karzai?,'o 9 ottovre 2004 c''a celebraziona d''e primme elezione presirienziale 'a isso abbenciute.
Neapolitan,Qual èva ll'obbiettivo principale 'e ll'operazziona Sustegno Resuluto?,'e furmà n'eserceto regulà 'ngrado d'affruntà nnipennentemente 'a uorreglia talebana.
Neapolitan,Che rrobba è Alessio e addó se trova?,"è nu comune albanese situato 'a nord-ovest d''a Albania, e pure capoluogo d''a prefettura cu 'o stesso nomme e sede vescovile cattolica."
Neapolitan,A chi se deve 'o nomme italiano 'e Alessio?,'O nomme italiano Alessio fu dato d''e veneziani.
Neapolitan,Che succerette 'a Parula 'int''o 71 a.C. tra Spartaco e 'e Rommani?,Spartaco e 60.000 schiavi cuntrarie a Roma abbuscaren ra ''o Generale romano Pompeo 'int''o 71 a.C..
Neapolitan,Quanno accumincia 'a storia 'e Autavilla e comm 'o facettero 'e Nurmann?,"'A storia 'e Autavilla accumencia verso ''o 1080 quann 'e Nurmann aizaron 'o paes cu 'e mur a forma 'e triangul cu tre porte pe trase: Porta 'e Suso, Porta Carina e Porta San Biagio."
