Dialect,Domanda,Risposta
Roman,Chi è che abitava ar vicolo der Moro?,"io, co' me' madre e me' fratello Giggi."
Roman,"Ma Giggi che fine fece, poi?","Giggi se cambiò!!! se fece amico co' li più peggio bulli dell'urione, lassò er lavoro. bazzicò Panico, poi fu proposto pe' l'ammonizzione."
Roman,"Che vò dì ""Ornitocefalo"" seconno ar testo?",Ornitocefalo vol dire che hai la testa de uccello e pertanto capisci poco!
Roman,"Pecché la parola ""stronzo"" nun è n'inzurto seconno a chi parla?",Perché e' 'a verità
Roman,Come vegniva descritto er cagnolino ner racconto?,"Infatti era un cagnolino tutto linno e ppinno, ciuco, ciuco, che ppareva 'na galanteria"
Roman,"Doppo che li fiji se misero a lagnasse, che je disse er re?","Adesso annate ognuno a ppijavve la vostra spósa, e ddoppo armerete a sposa'"
Roman,Che ffece Nicolino subbito doppo avé buttato er canestro ?,"Nicolino mannò ggiù er canestro, prese e' refe, e se n'annò ddar padre"
Roman,Come ha giudicato er padre li ttre gnómmeri de refe ?,"Quello de la fornara è bbello, quello de la macellara è mmejo, ma cquello de la ranocchia è er più bbello de tutti"
Roman,Che problema c'aveva la fija der re che nu' se risolveva mai?,nu' rideva mai
Roman,"Che stava a fa' la fija der re, 'na vorta, e che vedeva dalla finestra?",la fija de' re stava in finestra a godesse la gente che faceven'a pugni pe' riempisse le bocce d'ojo
Roman,Che fece la fia der re dopo la maledizione e che je venne da quer giorno in poi?,"La fija de' re se levò da la finestra, e da quer giorno in poi je prese 'na smagna pe 'sto re superbo, che nun poteva più sta senza vedello."
Roman,Come reagì la vecchia a le risate scrocchiarelle e che maledizione tirò a la fia der re?,"La vecchia, co' cquele lune che je faceveno, ner sentì' quele risate accusì scrocchiarèlle, s'arivortò; e vedenno che era la fija de' re, je fece tutt'arabbiata: - Ah ridi?! Che te possi innammorà' de' re superbo."
Roman,Che fu costretta a fa' la regazza più ciuca pe' campà' in pace?,"fu costretta, si vorse campà' in pace, de chiùdese in cammeretta sua, e de nun fasse più vede' da gnisuno."
Roman,Che aveva crompato er padre pe' le du' fije più granne?,crompato er cappello e ll'abbito pe' le du' fije più granne
Roman,Come ereno de carattere le fije der padre?,"Le due più granne ereno cattive de core, crapicciose e scontente quanto mai; la più piccola invece era 'na pasta de mèle."
Roman,E la fia più ciuca che regalo chiese ar padre?,portateme un vaso de pèrsa.
Roman,Che istruzzioni precise je dà pe' liberarse der sacco?,"Méttetelo in collo, e senza fatte accorge' da gnisuno, bbuttel'a fiume."
Roman,"Quanno er facchino dice d'avello buttato, che je risponne la cammeriera quanno vede n'artro gobbo?",È segno che nun ce l'hai bbuttato bbene; si nno' nu' starebbe quì.
Roman,"Na vorta che er côco stava a aspettà de portà er cibo in tavola, che animale se posò su la finestra?",una palommella je se posò su la finestra de la cucina
Roman,"Doppo er disastro, che fece er re pe' riparà' e pe' fa' un pranzo mejo?",Arinvitò tutta quela ggente p'er giorno appresso e ffece fa un pranzo tre vorte ppiù mejo de quello der giorno avanti.
Roman,Chi je diede da bbeve alla bbella regazza quanno je chiese de 'na bevuta?,er fijo de' re je diede da bbeve.
Roman,"Dopo che er fijo de' re disse che nun la poteva portà' in corte, che je chiese de fa'?",Tu aspetteme qui pe' ttutta 'sta notte.
Roman,"Che je disse er padre quanno tornò, pe' famme capì che portava quarcosa de bello?","so' arivenuto, ma si sapessi che bbella cosa che ve porto!"
Roman,"Che fecero le fije ar poveraccio n'antra vorta, doppo che la sarvietta nun funzionò?",ricacciorno quer povero vecchio un'antra vorta da casa.
Roman,"Mentre stavano a mmagnà, che intoppo c'è stato co le bevande?","sur più mejo der pranzo, quant'ecchete che je finisce er vino"
Roman,"Che previsione fa la sposa su un su' futuro fijo, e che nome je vorebbe dà?",de qui a nove mesi ciaverò un fijo che je metterò nnome Cicco Petrillo
